Date,Open
20,5239.46
19,5196.13
18,5219.67
17,5238.41
14,5246.20
13,5228.93
12,5158.23
11,5172.03
10,5160.70
07,5149.79
06,5177.21
05,5174.79
04,5170.54
03,5151.19
30,5157.59
29,5268.23
28,5235.83
27,5282.87
26,5295.04
23,5273.24
22,5258.68
21,5273.00
20,5330.58
19,5305.22
16,5243.53
15,5235.36
